1	Plaza Vea                     	1	Buenos Aires                  	9693	9693 - P Vea Villa Urquiza.			N
9	Jumbo                         	1	Buenos Aires                  	5275	5275 - Jumbo La Palmera			N
9	Jumbo                         	1	Buenos Aires                  	5276	5276 - Jumbo Arenales	0.0	0.0	N
9	Jumbo                         	1	Buenos Aires                  	5277	5277 - Jumbo-Comodoro	-45.872649000000003	-67.496036000000004	N
9	Jumbo                         	1	Buenos Aires                  	5299	5299 - Dep¢sito Tortuguitas	0.0	0.0	S
9	Jumbo                         	1	Buenos Aires                  	5300	5300 - CD Congelados	0.0	0.0	S
9	Jumbo                         	1	Buenos Aires                  	5459	5459 - Estacionamiento Tronado			N
9	Jumbo                         	1	Buenos Aires                  	5460	5460 - Estacionamiento Acoyte			N
9	Jumbo                         	1	Buenos Aires                  	5626	5626 - Jumbo Pacheco Novo	-34.453186000000002	-58.630924	N
9	Jumbo                         	1	Buenos Aires                  	5961	5961 - Jumbo Av. Santa F‚	-34.577317000000001	-58.428885999999999	N
9	Jumbo                         	1	Buenos Aires                  	9121	121 - Jumbo Las Heras			N
9	Jumbo                         	1	Buenos Aires                  	9138	138 - Jumbo Nordelta			N
9	Jumbo                         	1	Buenos Aires                  	9628	628 - Jumbo San Fernando	-34.446702500000001	-58.545037200000003	N
9	Jumbo                         	1	Buenos Aires                  	9662	662 - Jumbo Paseo del Pilar			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8201	8201 - Rinc¢n Parque Brown			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8227	8227 - Rinc¢n Tucum n			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8262	8262 - Rinc¢n Unicenter II	0.0	0.0	N
11	Rincon Jumbo                  	1	Buenos Aires                  	8302	8202 - Rinc¢n Unicenter	0.0	0.0	N
11	Rincon Jumbo                  	1	Buenos Aires                  	8303	8203 - Rinc¢n San Isidro			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8306	8206 - Rinc¢n Palermo			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8311	8211 - Rinc¢n Pilar	0.0	0.0	N
11	Rincon Jumbo                  	1	Buenos Aires                  	8314	8214 - Rinc¢n Escobar			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8318	8218 - Rinc¢n Rosario			N
11	Rincon Jumbo                  	1	Buenos Aires                  	8331	8231 - Rinc¢n Almagro			N
